LON,LAT,EDO,CLAVE,ESTACION,jun-25,,
-90.741111,18.604444,CAMP,ESCCA,"Esc†rcega, Camp.",179.4,,
-90.105556,20.184167,CAMP,HECCA,"Hecelchak†n, Camp.",78,,
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",171.9,,
-90.221389,19.605833,CAMP,NYXCA,"Noh YaxchÇ, Camp.",110.3,,
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",117.4,,
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",113,,
-92.098056,18.254722,CAMP,PALIZADACA,"Palizada, Camp. SMN*",81.3,,
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",176.5,,
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",229.9,,
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",183,,
-107.482778,28.481667,CHIH,AGZCH,"Abraham Gonz†lez, Chih.",98,,
-107.255556,28.771667,CHIH,BACCH,"Bach°niva, Chih.",122.5,,
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",101.62,,
-106.770556,26.229444,CHIH,CHNCH,"Chinat£, Chih. SMN*",94.09,,
-108.541667,27.416667,CHIH,CNDCH,"Ch°nipas, Chih.",119.5,,
-106.84,28.396667,CHIH,CDCUAUHTEMOC,"Ciudad CuauhtÇmoc, Chih. SMN*",60.4,,
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",59.54,,
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Ju†rez, Chih.",30,,
-108.14,29.18,CHIH,MDRCH,"Ciudad Madera, Chih.",69.02,,
-105.381667,27.410278,CHIH,CL2CH,"Colina hidromÇtrica, Chih.",53.01,,
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",198.03,,
-106.486111,28.803333,CHIH,MAJALCA,"Cumbres de Majalca, Chih. SMN*",144.4,,
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",105.54,,
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",157.02,,
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",134.4,,
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",105.2,,
-107.072778,26.813056,CHIH,GRCCH,"Guerachi, Chih.",118.91,,
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",14.8,,
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",86.33,,
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",39.51,,
