Lon,Lat,Clave,Edo,Est,Tmed
-99.2000,19.4000,TACUBAYAob,CDMX,Observatorio de Tacubaya Cd. de MÈx. SMN*,22.1
-99.1500,19.4300,SGISE,CDMX,SGIRPC Col Ju·rez Cd. de MÈx. SGIRPC*,21.7
-99.1200,19.2700,ENP1,CDMX,Escuela Nacional Preparatoria 1 Cd. de MÈx. UNAM*,22.4
-99.1300,19.3000,ENP5,CDMX,Escuela Nacional Preparatoria 5 Cd. de MÈx. UNAM*,22.6
-99.0900,19.4800,ENP3,CDMX,Escuela Nacional Preparatoria 3 Cd. de MÈx. UNAM*,22.2
-99.2000,19.5000,CCHA,CDMX,Colegio de Ciencias y Humanidades Azcapotzalco Cd. de MÈx. UNAM*,21.5
-99.2100,19.2700,AJMSE,CDMX,Ajusco Medio Cd. de MÈx. SGIRPC*,20.1
-99.2000,19.3300,PEDSE,CDMX,Pedregal Cd. de MÈx. SGIRPC*,21.2
-99.0900,19.4800,GAMSE,CDMX,Gustavo A. Madero Cd. de MÈx. SGIRPC*,22.3
-99.1200,19.4200,MERSE,CDMX,Merced Cd. de MÈx. SGIRPC*,22.2
-99.0100,19.2500,TAHSE,CDMX,Tl·huac Cd. de MÈx. SGIRPC*,22.1
-99.1700,19.4500,CBIDF,CDMX,Escuela Nacional de Ciencias BiolÛgicas IPN Cd. de MÈx. SMN*,21.8
-99.2000,19.4000,MGHSE,CDMX,Miguel Hidalgo Cd. de MÈx. SGIRPC*,22.2
-99.1500,19.4800,LAASE,CDMX,Lab. de An·lisis Ambiental Cd. de MÈx. SGIRPC*,21.4
-99.1600,19.3700,BJUSE,CDMX,Benito Ju·rez Cd. de MÈx. SGIRPC*,21.9
-99.0100,19.3500,SACSE,CDMX,Santiago Acahualtepec Cd. de MÈx. SGIRPC*,21.8
-99.1000,19.3000,UAXSE,CDMX,Universidad AutÛnoma Metropolitana Xochimilco Cd. de MÈx. SGIRPC*,22.3
-99.2000,19.3100,CENAPRED,CDMX,Centro de Ciencias de la AtmÛsfera CENAPRED Cd. de MÈx SMN*,21.0
-99.0700,19.3600,UIZSE,CDMX,Universidad AutÛnoma Metropolitana Iztapalapa Cd. de MÈx. SGIRPC*,23.3
-105.1600,26.7400,VICCH,CHIH,Villa Coronado Chih.,24.1
-107.8800,26.8700,IGNCH,CHIH,San Ignacio Chih.,26.5
-107.9200,27.2200,URICH,CHIH,Urique Chih. SMN*,29.4
-107.9100,27.2200,URECH,CHIH,Urique Chih.,32.9
-105.4100,27.5400,LBQCH,CHIH,La Boquilla Chih.,25.8
-105.4500,28.2100,CDLCH,CHIH,Ciudad Delicias Chih.,25.4
-107.4800,28.4800,AGZCH,CHIH,Abraham Gonz·lez Chih.,16.7
-106.0900,28.6600,QIJCH,CHIH,Observatorio de Chihuahua Chih.,25.4
-108.3000,29.2000,GPCCH,CHIH,Guapoca Chih.,18.6
-107.3800,29.5600,TNTCH,CHIH,El Tintero Chih.,21.1
-104.4100,29.5600,OJNCH,CHIH,Ojinaga Chih.,27.6
-107.0300,29.8800,LJSCH,CHIH,Las Lajas Chih.,20.8
-106.4000,31.7400,CJZCH,CHIH,Ciudad Ju·rez Chih.,24.9
-105.3800,27.4100,CL2CH,CHIH,Colina hidromÈtrica Chih.,22.4
-106.7700,26.2300,CHNCH,CHIH,Chinat˙ Chih. SMN*,16.5
-107.0700,26.8200,GCCCH,CHIH,Guachochi Chih. SMN*,14.4
-104.9100,27.1100,JIMENEZCHIH,CHIH,JimÈnez Chih. SMN*,22.6
-108.5400,27.3900,CHICH,CHIH,ChÌnipas Chih. SMN*,26.3
-107.6300,27.7500,CRLCH,CHIH,Creel Chih.,16.1
-107.9900,27.8600,MAGCH,CHIH,Maguarichi Chih. SMN*,21.7
-106.8400,28.4000,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,20.5
-106.4900,28.8000,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,17.0
-108.4300,30.8400,JANOS,CHIH,Janos Chih. SMN*,20.6
-105.6800,26.9200,PRRCH,CHIH,Observatorio de Parral Chih.,25.3
-107.8500,28.9500,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,17.5
-107.9300,30.3800,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,21.4
-105.9700,28.7000,MMCU,CHIH,Aeropuerto Internacional de Chihuahua Chih.*,24.1
-106.4400,31.6400,MMCS,CHIH,Aeropuerto Internacional de Ciudad Ju·rez Chih.*,24.0
-106.3900,26.4700,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,13.5
-108.5400,27.4200,CNDCH,CHIH,ChÌnipas Chih.,28.1
-106.5000,30.6200,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,22.4
-107.2600,28.7700,BACCH,CHIH,BachÌniva Chih.,17.9
-106.4500,31.7600,CILANORTE,CHIH,CILA Norte Chih. SGT*,24.6
-105.8100,27.4500,VZRCH,CHIH,Valle de Zaragoza Chih.,23.9
-104.9000,27.1200,JIMENEZJ,CHIH,JimÈnez Chih. JCAS*,24.3
-105.1700,27.7000,CAMARGOJ,CHIH,Camargo Chih. JCAS*,25.3
-107.6000,27.9700,SANJUANITOJ,CHIH,San Juanito Chih. JCAS*,12.9
-106.8800,28.3900,CUAUHTEMOCJ,CHIH,CuauhtÈmoc Chih. JCAS*,19.4
-106.0800,28.6400,CHIHJCAS,CHIH,Chihuahua JCAS Chih. JCAS*,26.1
-106.0800,28.6800,CHIHPCIVIL,CHIH,Chihuahua PCivil Chih. JCAS*,25.1
-105.9100,28.8400,ALDAMAJ,CHIH,Aldama Chih. JCAS*,25.3
-103.9100,29.1100,MBENAVIDESJ,CHIH,Manuel Benavides Chih. JCAS*,26.9
-108.1400,29.1900,MADERAJ,CHIH,Madera Chih. JCAS*,15.5
-105.0900,29.4600,COYAMEJ,CHIH,Coyame Chih. JCAS*,25.3
-106.5100,30.6200,AHUMADAJ,CHIH,Ahumada Chih. JCAS*,23.4
-108.0000,31.0900,ASCENCIONJ,CHIH,AscensiÛn Chih. JCAS*,21.8
-106.0100,31.3700,PRAXEDISJ,CHIH,Pr·xedis Chih. JCAS*,23.2
-106.7500,31.7200,CONEJOSJ,CHIH,Ju·rez Conejos MÈdanos Chih. JCAS*,22.0
-106.5300,31.7300,DONBOSCOJ,CHIH,Don Bosco Chih. JCAS*,24.0
-106.4300,31.7400,IIT01J,CHIH,Instituto de IngenierÌa y TecnologÌa 01 Chih. JCAS*,24.8
-107.6300,31.7700,PALOMASJ,CHIH,Palomas Chih. JCAS*,22.3
-107.6400,27.7500,CREELJ,CHIH,Creel Chih. JCAS*,13.9
-105.8100,27.4600,VDEZARAGOZAJ,CHIH,Valle de Zaragoza Chih. JCAS*,25.2
-105.1600,26.7400,CORONADOJ,CHIH,Coronado Chih. JCAS*,23.1
-106.0300,28.6700,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,24.8
-106.4700,31.6500,CNUACJ,CHIH,ClÌnica de NutriciÛn UACJ Chih. JCAS*,24.5
-107.7000,28.7600,C08243,CHIH,Tejolocachi Chih.,15.1
-105.9600,28.7700,C08270,CHIH,La Mesa Chih.,24.4
-106.4800,28.8000,C08099,CHIH,Majalca Chih.,16.5
-108.0900,29.2500,C08219,CHIH,PeÒitas Chih.,12.6
-107.0700,26.8100,GRCCH,CHIH,Guerachi Chih.,28.7
-107.7200,27.0300,BTPCH,CHIH,Batopilas Chih.,28.4
-105.8100,28.6000,SANANTONIOJ,CHIH,San Antonio Chih. JCAS*,25.0
-106.4300,31.6800,JUAREZJ,CHIH,Ju·rez Chih. JCAS*,24.5
-105.6300,28.1700,FIMCH,CHIH,Las VÌrgenes Chih.,25.5
-105.2800,28.9800,LLNCH,CHIH,El Granero Chih.,30.6
-106.5600,31.7700,BOMBEROS9J,CHIH,Bomberos 9 Anapra Chih. JCAS*,23.4
-106.6800,27.9000,SFBORJAJ,CHIH,San Francisco de Borja Chih. JCAS*,21.2
-107.3900,29.1800,ELTERREROJ,CHIH,El Terrero Chih. JCAS*,19.3
-106.1000,28.6200,CHIHPOTB,CHIH,Chihuahua Potabilizadora Chih. JCAS*,24.5
-105.6900,26.9300,PARRALJ,CHIH,Parral Chih. JCAS*,23.3
-104.4100,29.5700,OJINAGAJ,CHIH,Ojinaga Chih. JCAS*,28.0
-108.1400,29.1800,MDRCH,CHIH,Ciudad Madera Chih.,14.7
-106.1100,27.9600,SATEVOJ,CHIH,SatevÛ Chih. JCAS*,24.1
-107.9200,30.4100,NCGJ,CHIH,Nuevo Casas Grandes Chih. JCAS*,21.6
-106.3500,26.9500,BALLEZAJ,CHIH,Balleza Chih. JCAS*,23.4
-92.4700,15.1300,HUICP,CHIS,Huixtla Chis.,30.2
-92.5800,15.2000,DESCP,CHIS,Despoblado Chis.,29.6
-92.8800,15.4500,MAPCP,CHIS,Mapastepec Chis.,29.7
-92.2800,15.7500,CHMCP,CHIS,Chicomuselo Chis.,28.3
-93.0600,16.4500,SDOCP,CHIS,Santo Domingo Chis.,30.1
-91.9700,15.8500,PCOCP,CHIS,Puente Concordia Chis.,29.1
-92.7200,15.8700,JAPCP,CHIS,Jaltenango Chis.,29.1
-93.5300,15.8800,TPICP,CHIS,Tres Picos Chis.,29.7
-92.6700,15.9200,REFCP,CHIS,Reforma Chis.,27.8
-93.0800,16.1600,REVCP,CHIS,RevoluciÛn Mexicana Chis.,29.6
-92.1000,16.2000,COOCP,CHIS,Observatorio de Comit·n Chis.,23.3
-92.4800,16.3100,CASCP,CHIS,Cascajal Chis.,29.3
-92.7800,16.4000,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,30.0
-92.8000,16.5500,ACACP,CHIS,Acala Chis.,31.5
-93.1500,16.6400,BOQCP,CHIS,BoquerÛn Chis.,30.0
-92.6300,16.7300,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,19.7
-93.1300,16.7500,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,30.7
-93.1000,16.7600,TUXCP,CHIS,Tuxtla Oriente Chis.,29.9
-92.8200,16.9400,SNACP,CHIS,Santa MarÌa Chis.,29.8
-93.1000,16.9400,CHICP,CHIS,Manuel Moreno Torres Chis.,31.5
-93.3300,17.1200,YAMCP,CHIS,YamonhÛ Chis.,29.2
-93.6000,17.1800,MALCP,CHIS,NezahualcÛyotl Chis.,31.0
-93.3800,17.4200,SAYCP,CHIS,Sayula Chis.,29.8
-92.3500,17.5700,SAACP,CHIS,Salto de Agua Chis.,30.0
-92.6200,16.7400,SCRCP,CHIS,Puente Morelos Chis.,18.2
-92.3300,15.1700,FHACP,CHIS,Finca Hamburgo Chis.,22.4
-92.8100,15.6600,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,18.1
-93.0800,17.5600,SJOCP,CHIS,San JoaquÌn Chis.,30.6
-93.0200,16.5600,MMTG,CHIS,Aeropuerto Internacional de Tuxtla GutiÈrrez Chis.*,30.1
-92.7600,15.0700,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,28.9
-93.5600,16.7000,LFLCP,CHIS,Las Flores Chis.,29.0
-92.9000,16.0000,JSBCP,CHIS,Juan Sabines Chis.,29.7
-92.3700,14.7900,MMTP,CHIS,Aeropuerto Internacional de Tapachula Chis.*,29.1
-92.7300,15.3700,CACCP,CHIS,Cacaluta Chis.,28.2
-92.1500,15.0900,VTACANA,CHIS,Volc·n Tacan· Chis. SMN*,21.3
-91.9900,17.5300,PLQCP,CHIS,Palenque Chis. SMN*,31.4
-92.2600,14.9100,TAPCP,CHIS,Tapachula Chis.,30.5
-92.9100,17.1800,UNIVERSIDADLIND,CHIS,Universidad Lindavista Chis. SMN*,22.5
-93.9000,16.2400,AROCP,CHIS,Observatorio de Arriaga Chis.,31.0
-92.0200,17.5300,MMPQ,CHIS,Aeropuerto Internacional de Palenque Chis,31.3
-92.3000,15.1300,FARCP,CHIS,Finca Argovia Chis.,25.0
-93.8600,16.0600,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,29.9
-93.2200,15.6900,PIJCP,CHIS,Pijijiapan Chis.,30.3
-93.1100,17.5100,PICCP,CHIS,Pichucalco Chis.,30.4
-92.2400,15.7800,SMICP,CHIS,San Miguel Chis.,28.6
-92.1300,16.2300,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,22.6
-91.5200,16.8100,NAHA,CHIS,Naha Chis. SMN*,25.0
-93.0800,16.1700,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. PC*,29.4
-93.4600,17.4500,PENCP,CHIS,Angel Albino Corzo Chis.,31.4
-92.4000,14.7000,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,29.3
-92.4100,14.7000,CPCHIAPASmar,CHIS,CapitanÌa de Puerto de Puerto Chiapas Chis. SEMAR*,28.3
-92.2400,14.9900,TAMCP,CHIS,Malpaso 2 Chis.,27.1
-92.2500,15.3600,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,23.7
-92.9500,15.5000,ELNCP,CHIS,El Novillero Chis.,30.1
-103.7000,27.2900,SMJCL,COAH,Sierra Mojada Coah.,26.2
-101.0200,25.3800,STOCL,COAH,Saltillo Coah.,23.5
-103.4500,25.5400,TORCL,COAH,Observatorio de TorreÛn Coah.,29.8
-103.4700,25.5400,CYTCL,COAH,Coyote Coah.,29.4
-100.9300,25.5600,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,23.9
-102.9800,25.7600,SPECL,COAH,San Pedro Coah.,30.4
-100.6200,27.5200,VCRCL,COAH,Venustiano Carranza Coah.,28.9
-101.1200,27.8500,SBNCL,COAH,Sabinas Coah.,29.3
-101.0600,29.4500,AMSCL,COAH,Internacional La Amistad Coah.,27.5
-103.2800,25.0700,LFLDR,COAH,La Flor Coah.,26.8
-101.0200,25.3800,SALCL,COAH,Observatorio de Saltillo Coah.,23.6
-100.9500,27.5200,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,29.2
-101.3300,27.9200,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,28.2
-100.9200,25.4400,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,23.9
-101.4200,26.9100,MCVCL,COAH,Observatorio de Monclova Coah.,29.8
-100.5300,28.7100,PNGCL,COAH,Observatorio de Piedras Negras Coah.,29.1
-100.9300,25.5500,MMIO,COAH,Aeropuerto Internacional de Saltillo Coah.*,24.8
-103.4000,25.5600,MMTC,COAH,Aeropuerto Internacional de TorreÛn Coah.*,28.8
-100.5400,28.6300,MMPG,COAH,Aeropuerto Internacional de Piedras Negras Coah.*,28.7
-100.6600,26.8400,CDLCL,COAH,Candela Coah.,28.3
-102.0600,26.9800,CCGCL,COAH,Cuatro CiÈnegas Coah.,27.9
-101.2100,28.4000,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,26.3
-100.5700,28.6800,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,29.4
-100.9500,29.3300,LASVACASC,COAH,Las Vacas. Ciudad AcuÒa Coah. CILA*,28.7
-103.2700,25.7700,MADCL,COAH,Madero Coah.,28.8
-101.0600,29.4500,PLAAMISTAD,COAH,Presa La Amistad Coah. SGT*,28.2
-103.2300,25.5300,MATCL,COAH,Matamoros Coah.,27.7
-102.1800,25.4400,PARCL,COAH,Parras Coah.,25.5
-102.8100,25.3300,VSCCL,COAH,Viesca Coah.,26.8
-103.8700,19.1700,LAECM,COL,La Esperanza Col.,27.2
-103.7300,18.7600,CDOCM,COL,Cerro de Ortega Col.,30.4
-103.7700,18.8100,LDACM,COL,Laguna de Amela Col.,29.8
