Lon,Lat,Clave,Edo,Est,Tmed
-102.3200,21.7000,MMAS,AGS,Aeropuerto Internacional de Aguascalientes Ags.*,22.8
-102.3700,21.7800,NGRAG,AGS,El Ni·gara Ags.,21.5
-102.7900,21.8100,MNLAG,AGS,Media Luna Ags.,23.9
-102.2900,21.8500,OBSAG,AGS,Observatorio de Aguascalientes Ags.,24.9
-102.3100,21.9000,AGSAG,AGS,Aguascalientes Ags.,23.1
-101.9900,21.9000,CNSAG,AGS,Los Conos Ags.,22.8
-102.3600,22.1200,JCQAG,AGS,Jocoque Ags.,24.2
-102.4200,22.1400,PECAG,AGS,Plutarco ElÌas Calles Ags.,21.9
-102.2800,22.1500,PBLAG,AGS,PabellÛn Ags.,22.5
-102.4600,22.1900,P50ANIV,AGS,Presa Cincuenta Aniversario Ags. SMN*,23.0
-102.1400,22.2000,PTOAG,AGS,Puerto de la ConcepciÛn Ags.,23.3
-102.4400,22.2400,PTRAG,AGS,Derivadora PabellÛn Ags.,23.4
-102.6100,22.2700,SIERRAFRIA,AGS,Sierra FrÌa Ags. SMN*,16.7
-102.3000,22.3600,CSOAG,AGS,CosÌo Ags.,14.3
-102.0700,22.1000,VJZAG,AGS,Villa Ju·rez Ags.,20.6
-102.1800,21.7400,BRTAG,AGS,San Bartolo Ags.,25.0
-102.1300,21.8100,TNJAG,AGS,La Tinaja 2 Ags.,23.1
-102.1100,21.8800,SNVAG,AGS,Sandovales Ags.,17.8
-101.9700,21.9200,PALAG,AGS,Palo Alto Ags.,23.0
-102.2000,22.0100,CHOAG,AGS,CaÒada Honda Ags.,22.9
-102.0000,22.0200,NVLAG,AGS,El Novillo Ags.,20.2
-102.1900,21.8300,CLVAG,AGS,Calvillo Ags.,20.0
-102.2900,21.8500,AGUASCALIENTESo,AGS,Observatorio de Aguascalientes Ags. SGT*,23.4
-102.4600,22.1900,ANVAG,AGS,Cincuenta Aniversario Ags.,22.9
-114.7200,29.7300,CATAVINA,BC,CataviÒa B.C. SMN*,19.7
-116.6000,31.8900,ELZBN,BC,Emilio LÛpez Zamora B.C.,17.6
-116.2000,32.2700,AGHBN,BC,Agua Hechicera B.C.,15.1
-116.9100,32.4400,ALRBN,BC,Abelardo L. RodrÌguez B.C.,20.9
-116.8300,32.4700,EFLBN,BC,El Florido B.C.,18.9
-116.7000,32.4800,CRRBN,BC,El Carrizo B.C.,19.8
-114.7300,32.7000,PDMBN,BC,Presa derivadora Morelos B.C.,26.5
-115.2700,32.3900,MXCBN,BC,Mexicali B.C.,29.8
-115.9300,30.5200,ENBBN,BC,San QuintÌn B.C.,17.4
-115.9400,30.5300,SQNBN,BC,San QuintÌn B.C. SMN*,17.2
-116.6000,31.8900,PLOPEZZAMORA,BC,Presa Emilio LÛpez Zamora B.C. SMN*,17.2
-116.9100,32.4500,PABELARLRDGZ2,BC,Abelardo L. RodrÌguez. 2 B.C. SMN*,19.1
-116.6600,32.5700,TECATE,BC,Tecate B.C. SMN*,18.7
-114.8500,31.0300,SFLBN,BC,Observatorio de San Felipe B.C.,25.3
-115.1500,32.4100,ENLBN,BC,Observatorio de Ejido Nuevo LeÛn B.C.,26.5
-115.2900,32.6700,MEXBN,BC,Mexicali B.C. SMN*,27.7
-115.5000,31.1000,ISANPEDR1,BC,San Pedro M·rtir B.C. UNAM*,9.8
-116.9700,32.5400,MMTJ,BC,Aeropuerto Internacional de Tijuana B.C.*,18.4
-115.2500,32.6300,MMML,BC,Aeropuerto Internacional de Mexicali B.C.*,26.3
-115.9200,32.0400,CONST1857,BC,ConstituciÛn de 1857 B.C. SMN*,13.2
-114.8300,30.9900,SANFELIPEMAR,BC,San Felipe B.C. SEMAR*,24.8
-117.2500,32.4200,ISLACORONADOMAR,BC,Isla Coronado B.C. SEMAR*,17.1
-116.2100,32.2700,RUMOROSA,BC,La Rumorosa B.C. SMN*,15.3
-115.1900,32.4100,ENVOLEONob,BC,Observatorio del Ejido Nuevo LeÛn B.C. SMN*,26.6
-114.8300,31.0300,SFELIPEob,BC,Observatorio de San Felipe B.C. SMN*,25.5
-114.7300,32.7000,ALGODONESob,BC,Observatorio de Algodones B.C. SMN*,26.5
-116.3000,32.5200,HNGBN,BC,El Hongo B.C.,18.7
-116.6600,31.8700,CICESE,BC,Centro de InvestigaciÛn CientÌfica y de EducaciÛn Superior de Ensenada B.C. CICESE*,16.5
-116.7300,31.9100,CIBOLA,BC,CÌbola B.C. CICESE*,16.2
-116.6100,32.0300,VGUADALUPE,BC,Valle de Guadalupe B.C. CICESE*,17.1
-111.3500,26.0100,BLORETO,BCS,BahÌa de Loreto B.C.S. SMN*,26.3
-109.9200,22.8900,SLUBS,BCS,Cabo San Lucas B.C.S. SMN*,25.9
-109.9300,22.9000,CSLBS,BCS,Cabo San Lucas B.C.S.,25.3
-109.7100,23.1200,SJCBS,BCS,San JosÈ del Cabo B.C.S.,23.3
-110.2100,23.4800,TSNBS,BCS,Todos Santos B.C.S.,20.4
-109.7100,23.4900,SNTBS,BCS,Santiago B.C.S.,25.9
-109.5900,23.5900,RBRBS,BCS,La Ribera B.C.S.,24.6
-109.7000,23.6800,LBABS,BCS,Los Barriles B.C.S.,27.4
-109.8400,23.7400,SBABS,BCS,San Bartolo B.C.S.,24.5
-110.0600,23.8000,SANBS,BCS,San Antonio B.C.S.,28.6
-109.9300,23.9700,PLNBS,BCS,Los Planes B.C.S.,26.5
-110.0000,24.0800,SARBS,BCS,El Sargento B.C.S.,24.0
-113.4600,27.6400,DORBS,BCS,DÌaz Ordaz B.C.S.,17.7
-114.0500,27.9600,GNGBS,BCS,Guerrero Negro B.C.S.,17.5
-111.9800,26.9000,MLGBS,BCS,MulegÈ B.C.S.,23.8
-110.0000,23.5600,SLAGUNA,BCS,Sierra La Laguna B.C.S. SMN*,21.0
-110.3700,24.1500,LPZBS,BCS,Observatorio de La Paz B.C.S.,26.4
-111.6600,25.0100,CCNBS,BCS,Observatorio de Ciudad ConstituciÛn B.C.S.,21.6
-111.3500,26.0100,LRTBS,BCS,Observatorio de Loreto B.C.S.,26.6
-112.2700,27.3400,SRLBS,BCS,Observatorio de Santa RosalÌa B.C.S.,22.2
-109.7200,23.1400,MMSD,BCS,Aeropuerto Internacional de Los Cabos B.C.S.*,26.1
-110.3700,24.0800,MMLP,BCS,Aeropuerto Internacional de La Paz B.C.S.*,25.3
-111.3500,25.9900,MMLT,BCS,Aeropuerto Internacional de Loreto B.C.S.*,26.2
-109.4200,23.4500,CPULMO,BCS,Cabo Pulmo B.C.S. SMN*,25.5
-110.3200,24.1200,LAPAZob,BCS,Observatorio de La Paz B.C.S. SMN*,27.4
-111.8300,24.4800,PCORTESMAR,BCS,Puerto CortÈs B.C.S. SEMAR*,20.1
-109.9400,22.9500,MMSL,BCS,AerÛdromo Internacional de Cabo San Lucas B.C.S.,25.9
-114.0200,27.9800,UABCSCGNJ,BCS,UABCS Campus Guerrero Negro B.C.S. JCAS*,17.6
-113.4600,27.6400,DIAZORDAZBN,BCS,Gustavo Diaz Ordaz B.C.S. SMN*,19.8
-112.2500,27.2800,STAROSALIAob,BCS,Observatorio de Santa RosalÌa B.C.S. SMN*,25.8
-109.9200,22.8900,CPCSANLUCASmar,BCS,CapitanÌa de Puerto de Cabo San Lucas B.C.S. SEMAR*,25.6
-110.2200,23.4500,TODOSLOSSANTOS,BCS,Todos los Santos B.C.S. SMN*,19.1
-111.6500,25.0100,CDCONSTITUCIONo,BCS,Ciudad ConstituciÛn Ob B.C.S. SGT*,21.9
-111.3500,26.0100,LORETOob,BCS,Observatorio de Loreto B.C.S. SMN*,26.7
-109.9100,22.8800,SANLUCASmar,BCS,Cabo San Lucas B.C.S. SEMAR*,25.3
-110.3100,24.1700,CPLAPAZmar,BCS,CapitanÌa de Puerto de La Paz B.C.S. SEMAR*,26.4
-89.4000,18.5000,XPJCA,CAMP,Xpujil Camp.,30.3
-91.0500,18.1800,CNDCA,CAMP,Candelaria Camp.,32.0
-92.0900,18.2500,PLZCA,CAMP,Palizada Camp.,32.3
-90.7400,18.6000,ESCCA,CAMP,Esc·rcega Camp.,32.6
-91.7600,18.6500,CARCA,CAMP,El Carmen Camp.,32.1
-91.1800,18.9700,SBNCA,CAMP,Sabancuy Camp.,31.2
-90.5800,19.3000,CANCA,CAMP,Canasayab Camp.,31.5
-90.7200,19.3600,CHMCA,CAMP,ChampotÛn Camp.,32.0
-89.8600,19.6600,XCPCA,CAMP,Xcupil Camp.,30.3
-90.5600,19.8300,CMPCA,CAMP,Campeche Camp.,32.4
-90.5100,19.8400,COBCA,CAMP,Observatorio de Campeche Camp.,32.5
-90.1100,20.1800,HECCA,CAMP,Hecelchak·n Camp.,32.0
-91.8000,18.6500,MMCE,CAMP,Aeropuerto Internacional de Ciudad del Carmen Camp.*,31.9
-90.5000,19.8100,MMCP,CAMP,Aeropuerto Internacional de Campeche Camp.*,31.8
-89.8900,18.3600,CALCA,CAMP,Calakmul Camp. SMN*,30.4
-90.3100,19.0100,YOHALTUM,CAMP,Yohalt˙n Camp. SMN*,31.2
-92.1000,18.2500,PALIZADACA,CAMP,Palizada Camp. SMN*,32.3
-89.8500,19.7500,HPOCA,CAMP,Hopelchen Camp.,30.9
-90.7200,19.3600,CHAMPOTONmar,CAMP,ChampotÛn Camp. SEMAR*,31.3
-90.5900,19.8100,LERMAmar,CAMP,Lerma Camp. SEMAR*,31.7
-90.5100,19.8400,CAMPECHEob,CAMP,Observatorio de Campeche Camp. SMN*,32.1
-89.7400,20.0000,BOLCA,CAMP,Bolonchen Camp.,30.6
-91.8300,18.6300,EIOCDCARMENmar,CAMP,EstaciÛn de InvestigaciÛn Oceanogr·fica de Ciudad del Carmen Camp. SEMAR*,32.0
-91.8400,18.6500,CPISLCARMENmar,CAMP,CapitanÌa de Puerto de Isla del Carmen Camp. SEMAR*,32.4
-89.7200,19.4600,DZILBACHEN,CAMP,DzilbachÈn Camp. SMN*,31.1
-90.5100,19.8300,BASANCAMPmar,CAMP,Base Aeronaval de Campeche Camp. SEMAR*,31.0
-90.2200,19.6100,NYXCA,CAMP,Noh YaxchÈ Camp.,32.6
-99.2000,19.3000,DATDF,CDMX,DesviaciÛn Alta Cd. de MÈx.,17.1
-99.0700,19.4700,SJADF,CDMX,San Juan de AragÛn Cd. de MÈx.,21.4
-99.1400,19.5200,CEADF,CDMX,Campamento Amealco Cd. de MÈx.,22.7
-99.2000,19.2700,ECOGUARDAS,CDMX,Ecoguardas Ajusco Cd. de MÈx. SMN*,20.9
-99.1000,19.3900,TEZDF,CDMX,Tezontle Cd. de MÈx. SMN*,22.1
-99.2000,19.4100,CTMDF,CDMX,Observatorio de Tacubaya Cd. de MÈx.,22.3
-99.0900,19.4800,GCNDF,CDMX,km 6+250 Cd. de MÈx.,21.5
-99.0700,19.4400,MMMX,CDMX,Aeropuerto Internacional de la Ciudad de MÈxico Cd. de MÈx.*,21.5
-99.2200,19.4400,IBMSE,CDMX,Legaria Cd. de MÈx. SGIRPC*,21.5
-99.2000,19.4000,ENP4,CDMX,Escuela Nacional Preparatoria 4 Cd. de MÈx. UNAM*,22.4
-99.1900,19.4200,MDELREY,CDMX,Molino del Rey Cd. de MÈx SMN*,21.2
-99.1400,19.4800,CCHV,CDMX,Colegio de Ciencias y Humanidades Vallejo Cd. de MÈx. UNAM*,22.6
-99.0100,19.2500,TULYEHUALC,CDMX,Tulyehualco Cd. de MÈx. UNAM*,20.7
-99.1800,19.3300,CCA,CDMX,Centro de Ciencias de la AtmÛsfera Cd. de MÈx UNAM*,21.4
-99.1200,19.4800,ENP9,CDMX,Escuela Nacional Preparatoria 9 Cd. de MÈx. UNAM*,22.3
-99.1500,19.3100,SURSE,CDMX,Santa ⁄rsula Cd. de MÈx. SGIRPC*,21.4
-99.0800,19.4000,AGOSE,CDMX,AgrÌcola Oriental Cd. de MÈx. SGIRPC*,21.9
-99.1400,19.5500,CUAUTEPEC,CDMX,Cuautepec Cd. de MÈx. UNAM*,21.4
-99.2600,19.3600,SANSE,CDMX,Santa Ana Cd. de MÈx. SGIRPC*,18.4
