LON,LAT,EDO,CLAVE,ESTACION,ene-25
-90.741111,18.604444,CAMP,ESCCA,"Escárcega, Camp.",47.5
-90.105556,20.184167,CAMP,HECCA,"Hecelchakán, Camp.",0.0
-89.848333,19.751944,CAMP,HPOCA,"Hopelchen, Camp.",12.7
-90.221389,19.605833,CAMP,NYXCA,"Noh Yaxché, Camp.",29.0
-90.5075,19.836389,CAMP,COBCA,"Observatorio de Campeche, Camp.",19.5
-92.086944,18.253056,CAMP,PLZCA,"Palizada, Camp.",85.5
-91.175833,18.972778,CAMP,SBNCA,"Sabancuy, Camp.",36.0
-89.860278,19.664444,CAMP,XCPCA,"Xcupil, Camp.",56.8
-89.396111,18.502222,CAMP,XPJCA,"Xpujil, Camp.",25.5
-107.482778,28.481667,CHIH,AGZCH,"Abraham González, Chih.",0.0
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",21.0
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",2.0
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",3.5
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",13.5
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",3.0
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",32.0
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",16.2
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",0.4
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",1.0
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",10.0
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",4.0
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",13.2
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",10.5
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",4.5
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",0.0
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",62.6
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",1.0
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",0.0
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",2.3
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",6.8
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",0.0
-93.458611,17.446111,CHIS,PENCP,"Angel Albino Corzo, Chis.",242.1
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",96.4
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",257.5
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",0.6
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",0.0
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",8.6
-93.034167,16.742778,CHIS,SUMIDEROCFE,"Cañón del Sumidero, Chis. CFE*",0.0
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",9.7
-92.618056,16.963333,CHIS,CHALCHIHUITAN,"Chalchihuitán, Chis. SGT*",53.6
-93.131389,17.341389,CHIS,CHAPULTENANGO,"Chapultenango, Chis. SGT*",427.1
-92.281389,15.750278,CHIS,CHICOMUSELO,"Chicomuselo, Chis. SGT*",0.0
-93.906111,16.2425,CHIS,CREDARRIAGA,"Cred Arriaga, Chis. PC*",0.0
-92.135556,16.224444,CHIS,CREDCOMITAN,"Cred Comitan, Chis. PC*",37.8
-92.113056,15.435833,CHIS,CUILCOCFE,"Cuilco, Chis. CFE*",2.8
-92.864444,16.038611,CHIS,CUXTEPEQUESCFE,"Cuxtepeques, Chis. CFE*",0.0
-92.575,15.204167,CHIS,DESCP,"Despoblado, Chis.",28.8
