Lon,Lat,Clave,Edo,Est,Tmed
-106.84,28.4,CDCUAUHTEMOC,CHIH,Ciudad CuauhtÈmoc Chih. SMN*,15.2
-106.49,28.8,MAJALCA,CHIH,Cumbres de Majalca Chih. SMN*,8.8
-108.43,30.84,JANOS,CHIH,Janos Chih. SMN*,13.3
-105.68,26.92,PRRCH,CHIH,Observatorio de Parral Chih.,17.5
-107.85,28.95,TMCCH,CHIH,Observatorio de TemÛsachic Chih.,10.6
-107.93,30.38,CAGCH,CHIH,Observatorio de Nuevo Casas Grandes Chih.,14.3
-105.97,28.7,MMCU,CHIH,Aeropuerto Internacional de Chihuahua Chih.*,15.4
-106.44,31.64,MMCS,CHIH,Aeropuerto Internacional de Ciudad Ju·rez Chih.*,13.8
-106.39,26.47,ELVERGELSMN,CHIH,El Vergel Chih. SMN*,7.0
-108.54,27.42,CNDCH,CHIH,ChÌnipas Chih.,19.0
-106.5,30.62,VILLAAHUMADA,CHIH,Villa Ahumada Chih. SMN*,12.7
-104.9,27.12,JIMENEZJ,CHIH,JimÈnez Chih. JCAS*,16.7
-105.17,27.7,CAMARGOJ,CHIH,Camargo Chih. JCAS*,17.8
-107.6,27.97,SANJUANITOJ,CHIH,San Juanito Chih. JCAS*,6.5
-106.88,28.39,CUAUHTEMOCJ,CHIH,CuauhtÈmoc Chih. JCAS*,12.4
-106.08,28.64,CHIHJCAS,CHIH,Chihuahua JCAS Chih. JCAS*,17.6
-106.08,28.68,CHIHPCIVIL,CHIH,Chihuahua PCivil Chih. JCAS*,16.8
-105.91,28.84,ALDAMAJ,CHIH,Aldama Chih. JCAS*,17.3
-107.83,28.95,TEMOSACHIJ,CHIH,TemÛsachi Chih. JCAS*,9.9
-103.91,29.11,MBENAVIDESJ,CHIH,Manuel Benavides Chih. JCAS*,16.7
-108.14,29.19,MADERAJ,CHIH,Madera Chih. JCAS*,8.7
-105.09,29.46,COYAMEJ,CHIH,Coyame Chih. JCAS*,15.9
-106.51,30.62,AHUMADAJ,CHIH,Ahumada Chih. JCAS*,14.6
-108,31.09,ASCENCIONJ,CHIH,AscensiÛn Chih. JCAS*,14.3
-106.01,31.37,PRAXEDISJ,CHIH,Pr·xedis Chih. JCAS*,13.5
-106.75,31.72,CONEJOSJ,CHIH,Ju·rez Conejos MÈdanos Chih. JCAS*,12.9
-106.53,31.73,DONBOSCOJ,CHIH,Don Bosco Chih. JCAS*,15.3
-106.43,31.74,IIT01J,CHIH,Instituto de IngenierÌa y TecnologÌa 01 Chih. JCAS*,15.2
-107.63,31.77,PALOMASJ,CHIH,Palomas Chih. JCAS*,13.3
-107.64,27.75,CREELJ,CHIH,Creel Chih. JCAS*,7.9
-105.81,27.46,VDEZARAGOZAJ,CHIH,Valle de Zaragoza Chih. JCAS*,16.9
-105.16,26.74,CORONADOJ,CHIH,Coronado Chih. JCAS*,16.7
-106.96,29.95,RFMAGONJ,CHIH,Ricardo Flores MagÛn Chih. JCAS*,14.5
-106.03,28.67,CHIHUAHUAob,CHIH,Observatorio de Chihuahua Chih. SMN*,16.7
-107.93,30.42,NCGRANDESob,CHIH,Observatorio de Nuevo Casas Grandes Chih. SMN*,14.8
-106.47,31.65,CNUACJ,CHIH,ClÌnica de NutriciÛn UACJ Chih. JCAS*,15.3
-105.81,28.6,SANANTONIOJ,CHIH,San Antonio Chih. JCAS*,19.6
-106.43,31.68,JUAREZJ,CHIH,Ju·rez Chih. JCAS*,15.5
-105.63,28.17,FIMCH,CHIH,Las VÌrgenes Chih.,18.4
-107.82,28.95,TEMOSACHICob,CHIH,Observatorio de TemÛsachic Chih. SMN*,9.8
-105.28,28.98,LLNCH,CHIH,El Granero Chih.,18.5
-106.56,31.77,BOMBEROS9J,CHIH,Bomberos 9 Anapra Chih. JCAS*,14.4
-106.68,27.9,SFBORJAJ,CHIH,San Francisco de Borja Chih. JCAS*,13.8
-106.38,31.65,BAVICORADSJ,CHIH,Bavicora Distrito Sur Chih. JCAS*,14.0
-107.39,29.18,ELTERREROJ,CHIH,El Terrero Chih. JCAS*,12.7
-106.1,28.62,CHIHPOTB,CHIH,Chihuahua Potabilizadora Chih. JCAS*,16.9
-105.69,26.93,PARRALJ,CHIH,Parral Chih. JCAS*,16.5
-107.48,28.55,GUERREROJ,CHIH,Guerrero Chih. JCAS*,11.2
-104.41,29.57,OJINAGAJ,CHIH,Ojinaga Chih. JCAS*,17.2
-108.14,29.18,MDRCH,CHIH,Ciudad Madera Chih.,7.0
-106.4,28.34,SANTAISABELJ,CHIH,Santa Isabel Chih. JCAS*,15.8
-106.11,27.96,SATEVOJ,CHIH,SatevÛ Chih. JCAS*,17.1
-92.4,15,HUECP,CHIS,Huehuet·n Chis.,28.3
-92.47,15.13,HUICP,CHIS,Huixtla Chis.,29.1
-92.58,15.2,DESCP,CHIS,Despoblado Chis.,28.4
-92.67,15.32,ESCCP,CHIS,Escuintla Chis.,28.0
-92.88,15.45,MAPCP,CHIS,Mapastepec Chis.,28.5
-92.28,15.75,CHMCP,CHIS,Chicomuselo Chis.,24.1
-93.06,16.45,SDOCP,CHIS,Santo Domingo Chis.,26.3
-91.97,15.85,PCOCP,CHIS,Puente Concordia Chis.,24.6
-92.72,15.87,JAPCP,CHIS,Jaltenango Chis.,25.0
-93.53,15.88,TPICP,CHIS,Tres Picos Chis.,29.1
-92.67,15.92,REFCP,CHIS,Reforma Chis.,23.9
-93.08,16.16,REVCP,CHIS,RevoluciÛn Mexicana Chis.,26.3
-92.1,16.2,COOCP,CHIS,Observatorio de Comit·n Chis.,19.4
-92.48,16.31,CASCP,CHIS,Cascajal Chis.,25.3
-92.78,16.4,ANGCP,CHIS,Doctor Belisario DomÌnguez Chis.,26.7
-92.8,16.55,ACACP,CHIS,Acala Chis.,26.3
-90.7,16.58,LACCP,CHIS,Lacant˙n Chis.,25.5
-93.15,16.64,BOQCP,CHIS,BoquerÛn Chis.,26.5
-92.63,16.73,SCOCP,CHIS,Observatorio de San CristÛbal Chis.,16.8
-93.13,16.75,TXOCP,CHIS,Observatorio de Tuxtla GutiÈrrez Chis.,25.6
-93.1,16.76,TUXCP,CHIS,Tuxtla Oriente Chis.,25.6
-92.82,16.94,SNACP,CHIS,Santa MarÌa Chis.,26.0
-93.1,16.94,CHICP,CHIS,Manuel Moreno Torres Chis.,26.6
-93.12,16.98,GRICP,CHIS,Grijalva Chis.,25.3
-93.33,17.12,YAMCP,CHIS,YamonhÛ Chis.,24.5
-93.6,17.18,MALCP,CHIS,NezahualcÛyotl Chis.,26.3
-93.38,17.42,SAYCP,CHIS,Sayula Chis.,25.6
-92.35,17.57,SAACP,CHIS,Salto de Agua Chis.,24.0
-92.62,16.74,SCRCP,CHIS,Puente Morelos Chis.,15.5
-92.33,15.17,FHACP,CHIS,Finca Hamburgo Chis.,21.8
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,15.9
-93.08,17.56,SJOCP,CHIS,San JoaquÌn Chis.,26.0
-93.02,16.56,MMTG,CHIS,Aeropuerto Internacional de Tuxtla GutiÈrrez Chis.*,25.3
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,27.2
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,25.8
-92.9,16,JSBCP,CHIS,Juan Sabines Chis.,26.1
-92.37,14.79,MMTP,CHIS,Aeropuerto Internacional de Tapachula Chis.*,27.5
-92.73,15.37,CACCP,CHIS,Cacaluta Chis.,28.3
-92.15,15.09,VTACANA,CHIS,Volc·n Tacan· Chis. SMN*,20.5
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,25.6
-92.26,14.91,TAPCP,CHIS,Tapachula Chis.,29.6
-92.91,17.18,UNIVERSIDADLIND,CHIS,Universidad Lindavista Chis. SMN*,18.9
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,30.1
-92.02,17.53,MMPQ,CHIS,Aeropuerto Internacional de Palenque Chis,25.8
-92.3,15.13,FARCP,CHIS,Finca Argovia Chis.,23.9
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,29.9
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,29.5
-93.11,17.51,PICCP,CHIS,Pichucalco Chis.,25.9
-92.24,15.78,SMICP,CHIS,San Miguel Chis.,24.2
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,19.0
-91.52,16.81,NAHA,CHIS,Naha Chis. SMN*,21.2
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. PC*,25.6
-93.46,17.45,PENCP,CHIS,Angel Albino Corzo Chis.,27.0
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,27.7
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,18.0
-101.02,25.38,STOCL,COAH,Saltillo Coah.,16.8
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,21.0
-103.47,25.54,CYTCL,COAH,Coyote Coah.,20.7
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,15.5
-102.98,25.76,SPECL,COAH,San Pedro Coah.,18.8
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,17.2
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,17.9
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,15.1
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,15.5
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,14.2
-103.28,25.07,LFLDR,COAH,La Flor Coah.,19.5
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,16.8
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,18.1
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,16.4
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,17.1
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,19.4
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,16.9
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,15.4
-100.93,25.55,MMIO,COAH,Aeropuerto Internacional de Saltillo Coah.*,16.2
-103.4,25.56,MMTC,COAH,Aeropuerto Internacional de TorreÛn Coah.*,20.1
-101.46,26.95,MMMV,COAH,Aeropuerto Internacional Venustiano Carranza Coah.*,16.9
-100.54,28.63,MMPG,COAH,Aeropuerto Internacional de Piedras Negras Coah.*,16.8
-100.66,26.84,CDLCL,COAH,Candela Coah.,18.1
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,18.5
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,14.9
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,16.8
-100.95,29.33,LASVACASC,COAH,Las Vacas. Ciudad AcuÒa Coah. CILA*,17.4
-103.27,25.77,MADCL,COAH,Madero Coah.,19.7
-101.06,29.45,PLAAMISTAD,COAH,Presa La Amistad Coah. SGT*,16.9
-103.23,25.53,MATCL,COAH,Matamoros Coah.,19.1
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,19.8
-102.18,25.44,PARCL,COAH,Parras Coah.,19.0
-103.87,19.17,LAECM,COL,La Esperanza Col.,24.9
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,26.7
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,26.5
-103.87,18.91,TCMCM,COL,Tecom·n Col.,26.6
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,26.3
-103.73,19.22,LPSCM,COL,La Posta Col.,26.9
-104.1,18.94,RDRCM,COL,Radar Col.,27.1
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,26.0
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,26.7
-103.61,19.25,BVSCM,COL,Buenavista Col.,25.7
-104.56,19.15,MMZO,COL,Aeropuerto Internacional de Manzanillo-Costalegre Col.*,24.5
-103.58,19.28,MMIA,COL,Aeropuerto Nacional de Colima Col.*,25.4
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,23.2
-104.31,19.05,IOPmar,COL,Instituto Oceanogr·fico del PacÌfico Col. SEMAR*,26.9
-103.88,19.11,DJLCM,COL,P. deriv. Gregorio T. Q. Jala Col.,25.2
-103.81,19.33,PNTCM,COL,P. deriv. PeÒitas Col.,28.3
-104.06,19.39,MINATITLAN,COL,Minatitl·n Col. SMN*,22.3
